100 1 100 100 69
100 2 199 184 35
100 3 297 131 92
100 4 394 232 71
100 5 490 332 100
100 6 585 383 100
100 7 679 232 97
100 8 772 411 98
100 9 864 445 98
100 10 955 465 99
100 11 1045 754 89
100 12 1134 789 95
100 13 1222 684 100
100 14 1309 797 81
100 15 1395 863 93
100 16 1480 963 96
100 17 1564 932 97
100 18 1647 995 99
100 19 1729 1091 100
100 20 1810 1119 96
100 21 1890 1099 96
100 22 1969 1378 98
100 23 2047 1244 98
100 24 2124 1380 100
100 25 2200 1272 100
100 26 2275 1196 98
100 27 2349 1219 99
100 28 2422 1395 100
100 29 2494 1680 99
100 30 2565 1286 100
100 31 2635 1564 100
100 32 2704 1776 97
100 33 2772 1766 100
100 34 2839 1853 100
100 35 2905 1796 99
100 36 2970 1970 100
100 37 3034 2013 100
100 38 3097 1805 97
100 39 3159 2183 98
100 40 3220 2044 99
100 41 3280 1907 99
100 42 3339 2269 99
100 43 3397 2046 100
100 44 3454 2152 100
100 45 3510 2302 97
100 46 3565 2410 100
100 47 3619 2545 99
100 48 3672 2411 100
100 49 3724 2323 99
100 50 3775 2717 100
100 51 3825 2486 100
100 52 3874 2621 99
100 53 3922 2848 98
100 54 3969 2639 100
100 55 4015 2672 99
100 56 4060 2650 99
100 57 4104 2985 100
100 58 4147 2767 100
100 59 4189 2885 100
100 60 4230 3370 98
100 61 4270 3113 100
100 62 4309 2878 100
100 63 4347 3069 96
100 64 4384 3080 100
100 65 4420 3468 100
100 66 4455 3267 100
100 67 4489 3607 99
100 68 4522 3385 99
100 69 4554 3572 100
100 70 4585 3585 100
100 71 4615 3589 100
100 72 4644 3594 100
100 73 4672 3780 99
100 74 4699 3881 100
100 75 4725 3682 100
100 76 4750 3677 100
100 77 4774 3948 100
100 78 4797 4076 100
100 79 4819 4125 100
100 80 4840 4021 100
100 81 4860 4245 100
100 82 4879 4083 100
100 83 4897 4208 100
100 84 4914 4202 100
100 85 4930 4250 100
100 86 4945 4366 100
100 87 4959 4296 100
100 88 4972 4447 100
100 89 4984 4531 100
100 90 4995 4537 100
100 91 5005 4646 100
100 92 5014 4705 100
100 93 5022 4689 100
100 94 5029 4927 100
100 95 5035 4799 100
100 96 5040 4769 100
100 97 5044 4892 100
100 98 5047 4898 100
100 99 5049 4969 100
100 100 5050 5050 100
