40 1 40 40 21
40 2 79 62 34
40 3 117 61 35
40 4 154 102 34
40 5 190 122 30
40 6 225 146 39
40 7 259 137 37
40 8 292 217 38
40 9 324 227 32
40 10 355 188 37
40 11 385 250 40
40 12 414 248 39
40 13 442 296 38
40 14 469 309 39
40 15 495 381 39
40 16 520 405 40
40 17 544 344 39
40 18 567 385 40
40 19 589 407 40
40 20 610 428 40
40 21 630 449 40
40 22 649 444 40
40 23 667 487 40
40 24 684 456 39
40 25 700 532 40
40 26 715 508 39
40 27 729 605 40
40 28 742 599 40
40 29 754 639 40
40 30 765 612 40
40 31 775 621 39
40 32 784 651 40
40 33 792 724 39
40 34 799 694 40
40 35 805 731 40
40 36 810 723 40
40 37 814 776 40
40 38 817 800 40
40 39 819 809 40
40 40 820 820 40
